Day,people_vaccinated_per_hundred,one_dose_cumulative,one_dose_daily,people_fully_vaccinated_per_hundred,two_dose_cumulative,two_dose_daily
2020-12-27,0.01,3125.8,0.0,0.0,0.0,0.0
2020-12-28,0.01,3125.8,0.0,0.0,0.0,0.0
2020-12-29,0.02,6251.6,3125.8,0.0,0.0,0.0
2020-12-30,0.02,6251.6,0.0,0.0,0.0,0.0
2020-12-31,0.07,21880.600000000002,15629.000000000002,0.0,0.0,0.0
2021-01-01,0.09,28132.2,6251.5999999999985,0.0,0.0,0.0
2021-01-02,0.15,46887.0,18754.8,0.0,0.0,0.0
2021-01-03,0.21,65641.8,18754.800000000003,0.0,0.0,0.0
2021-01-04,0.33,103151.4,37509.59999999999,0.0,0.0,0.0
2021-01-05,0.46,143786.8,40635.399999999994,0.0,0.0,0.0
2021-01-06,0.57,178170.59999999998,34383.79999999999,0.0,0.0,0.0
2021-01-07,0.72,225057.6,46887.00000000003,0.0,0.0,0.0
2021-01-08,0.88,275070.4,50012.80000000002,0.0,0.0,0.0
2021-01-09,1.03,321957.4,46887.0,0.0,0.0,0.0
2021-01-10,1.13,353215.39999999997,31257.99999999994,0.0,0.0,0.0
2021-01-11,1.26,393850.8,40635.40000000002,0.0,0.0,0.0
2021-01-12,1.4,437611.99999999994,43761.19999999995,0.0,0.0,0.0
2021-01-13,1.56,487624.80000000005,50012.800000000105,0.0,0.0,0.0
2021-01-14,1.72,537637.6,50012.79999999993,0.0,0.0,0.0
2021-01-15,1.87,584524.6000000001,46887.00000000012,0.0,0.0,0.0
2021-01-16,1.98,618908.3999999999,34383.799999999814,0.0,0.0,0.0
2021-01-17,2.04,637663.2000000001,18754.800000000163,0.0,0.0,0.0
2021-01-18,2.1,656418.0,18754.79999999993,0.01,3125.8,3125.8
2021-01-19,2.15,672047.0,15629.0,0.02,6251.6,3125.8
2021-01-20,2.2,687676.0000000001,15629.000000000116,0.02,6251.6,0.0
2021-01-21,2.23,697053.4,9377.399999999907,0.06,18754.8,12503.199999999999
2021-01-22,2.25,703305.0,6251.599999999977,0.08,25006.4,6251.600000000002
2021-01-23,2.26,706430.7999999999,3125.79999999993,0.14,43761.200000000004,18754.800000000003
2021-01-24,2.26,706430.7999999999,0.0,0.19,59390.2,15628.999999999993
2021-01-25,2.27,709556.6000000001,3125.800000000163,0.29,90648.2,31258.0
2021-01-26,2.28,712682.3999999999,3125.7999999998137,0.42,131283.6,40635.40000000001
2021-01-27,2.29,715808.2,3125.8000000000466,0.53,165667.4,34383.79999999999
2021-01-28,2.3,718934.0,3125.8000000000466,0.68,212554.40000000002,46887.00000000003
2021-01-29,2.31,722059.7999999999,3125.79999999993,0.83,259441.4,46886.99999999997
2021-01-30,2.31,722059.7999999999,0.0,0.98,306328.39999999997,46886.99999999997
2021-01-31,2.32,725185.6,3125.8000000000466,1.07,334460.60000000003,28132.20000000007
2021-02-01,2.33,728311.4,3125.8000000000466,1.21,378221.8,43761.19999999995
2021-02-02,2.34,731437.2,3125.79999999993,1.34,418857.2,40635.40000000002
2021-02-03,2.35,734563.0,3125.8000000000466,1.49,465744.2,46887.0
2021-02-04,2.37,740814.6000000001,6251.600000000093,1.65,515757.0,50012.79999999999
2021-02-05,2.4,750192.0,9377.399999999907,1.8,562644.0000000001,46887.00000000012
2021-02-06,2.43,759569.4,9377.400000000023,1.91,597027.7999999999,34383.799999999814
2021-02-07,2.44,762695.2,3125.79999999993,1.96,612656.7999999999,15629.0
2021-02-08,2.49,778324.2000000001,15629.000000000116,2.03,634537.3999999999,21880.599999999977
2021-02-09,2.55,797079.0,18754.79999999993,2.08,650166.4,15629.000000000116
2021-02-10,2.62,818959.6,21880.599999999977,2.13,665795.4,15629.0
2021-02-11,2.71,847091.7999999999,28132.199999999953,2.16,675172.8,9377.400000000023
2021-02-12,2.81,878349.8,31258.000000000116,2.19,684550.2,9377.399999999907
2021-02-13,2.89,903356.2000000001,25006.400000000023,2.2,687676.0000000001,3125.800000000163
2021-02-14,2.93,915859.4000000001,12503.20000000007,2.2,687676.0000000001,0.0
2021-02-15,3.03,947117.3999999999,31257.999999999767,2.21,690801.7999999999,3125.7999999998137
2021-02-16,3.14,981501.2000000002,34383.80000000028,2.22,693927.6,3125.8000000000466
2021-02-17,3.25,1015885.0,34383.799999999814,2.24,700179.2000000001,6251.600000000093
2021-02-18,3.39,1059646.2,43761.19999999995,2.25,703305.0,3125.79999999993
2021-02-19,3.53,1103407.4,43761.19999999995,2.27,709556.6000000001,6251.600000000093
2021-02-20,3.66,1144042.8,40635.40000000014,2.27,709556.6000000001,0.0
2021-02-21,3.74,1169049.2000000002,25006.40000000014,2.28,712682.3999999999,3125.7999999998137
2021-02-22,3.91,1222187.8,53138.59999999986,2.29,715808.2,3125.8000000000466
2021-02-23,4.07,1272200.6,50012.80000000005,2.3,718934.0,3125.8000000000466
2021-02-24,4.26,1331590.8,59390.19999999995,2.31,722059.7999999999,3125.79999999993
2021-02-25,4.46,1394106.8,62516.0,2.33,728311.4,6251.600000000093
2021-02-26,4.66,1456622.8,62516.0,2.35,734563.0,6251.599999999977
2021-02-27,4.85,1516012.9999999998,59390.19999999972,2.37,740814.6000000001,6251.600000000093
2021-02-28,4.97,1553522.5999999999,37509.60000000009,2.39,747066.2000000001,6251.599999999977
2021-03-01,5.16,1612912.8,59390.200000000186,2.43,759569.4,12503.199999999953
2021-03-02,5.37,1678554.5999999999,65641.79999999981,2.48,775198.4,15629.0
2021-03-03,5.62,1756699.6,78145.00000000023,2.55,797079.0,21880.599999999977
2021-03-04,5.87,1834844.6,78145.0,2.63,822085.4,25006.400000000023
2021-03-05,6.12,1912989.6,78145.0,2.72,850217.6000000001,28132.20000000007
2021-03-06,6.35,1984883.0,71893.3999999999,2.78,868972.3999999999,18754.799999999814
2021-03-07,6.49,2028644.2,43761.19999999995,2.81,878349.8,9377.40000000014
2021-03-08,6.72,2100537.6,71893.40000000014,2.89,903356.2000000001,25006.400000000023
2021-03-09,6.96,2175556.8,75019.19999999972,2.98,931488.4,28132.199999999953
2021-03-10,7.23,2259953.4,84396.6000000001,3.07,959620.6,28132.199999999953
2021-03-11,7.5,2344350.0,84396.6000000001,3.17,990878.6,31258.0
2021-03-12,7.75,2422495.0,78145.0,3.27,1022136.6,31258.0
2021-03-13,7.97,2491262.5999999996,68767.59999999963,3.35,1047143.0000000001,25006.40000000014
2021-03-14,8.09,2528772.2,37509.60000000056,3.4,1062772.0,15628.999999999884
2021-03-15,8.26,2581910.8,53138.59999999963,3.52,1100281.6,37509.60000000009
2021-03-16,8.38,2619420.4000000004,37509.60000000056,3.64,1137791.2,37509.59999999986
2021-03-17,8.52,2663181.6,43761.19999999972,3.78,1181552.4,43761.19999999995
2021-03-18,8.66,2706942.8,43761.19999999972,3.91,1222187.8,40635.40000000014
2021-03-19,8.82,2756955.6,50012.80000000028,4.04,1262823.2,40635.39999999991
2021-03-20,9.01,2816345.8,59390.19999999972,4.14,1294081.2,31258.0
2021-03-21,9.15,2860107.0,43761.200000000186,4.22,1319087.5999999999,25006.399999999907
2021-03-22,9.37,2928874.5999999996,68767.59999999963,4.33,1353471.4,34383.80000000005
2021-03-23,9.62,3007019.5999999996,78145.0,4.45,1390981.0000000002,37509.600000000326
2021-03-24,9.91,3097667.8000000003,90648.20000000065,4.59,1434742.2,43761.19999999972
2021-03-25,10.22,3194567.6000000006,96899.80000000028,4.73,1478503.4000000001,43761.200000000186
2021-03-26,10.54,3294593.1999999997,100025.59999999916,4.86,1519138.8,40635.39999999991
2021-03-27,10.83,3385241.4000000004,90648.20000000065,4.97,1553522.5999999999,34383.799999999814
2021-03-28,11.04,3450883.1999999997,65641.79999999935,5.04,1575403.2,21880.600000000093
2021-03-29,11.33,3541531.4,90648.20000000019,5.15,1609787.0000000002,34383.80000000028
2021-03-30,11.66,3644682.8,103151.3999999999,5.28,1650422.4,40635.399999999674
2021-03-31,12.02,3757211.6,112528.80000000028,5.43,1697309.4,46887.0
2021-04-01,12.34,3857237.1999999997,100025.59999999963,5.58,1744196.4000000001,46887.00000000023
2021-04-02,12.68,3963514.4,106277.20000000019,5.71,1784831.8,40635.39999999991
2021-04-03,12.97,4054162.6,90648.20000000019,5.81,1816089.8,31258.0
2021-04-04,13.09,4091672.1999999997,37509.59999999963,5.84,1825467.2,9377.399999999907
2021-04-05,13.31,4160439.8,68767.6000000001,5.91,1847347.8,21880.600000000093
2021-04-06,13.66,4269842.8,109403.0,6.03,1884857.4,37509.59999999986
2021-04-07,14.07,4398000.6,128157.79999999981,6.18,1931744.4,46887.0
2021-04-08,14.49,4529284.2,131283.60000000056,6.33,1978631.4,46887.0
2021-04-09,14.91,4660567.800000001,131283.60000000056,6.47,2022392.5999999999,43761.19999999995
2021-04-10,15.33,4791851.399999999,131283.5999999987,6.58,2056776.4,34383.80000000005
2021-04-11,15.6,4876248.0,84396.60000000056,6.65,2078657.0,21880.600000000093
2021-04-12,15.94,4982525.199999999,106277.19999999925,6.75,2109915.0,31258.0
2021-04-13,16.31,5098179.8,115654.60000000056,6.87,2147424.6,37509.60000000009
2021-04-14,16.72,5226337.6,128157.79999999981,7.0,2188060.0,40635.39999999991
2021-04-15,17.14,5357621.2,131283.60000000056,7.16,2238072.8,50012.799999999814
2021-04-16,17.61,5504533.8,146912.59999999963,7.33,2291211.4,53138.60000000009
2021-04-17,18.07,5648320.6,143786.7999999998,7.47,2334972.6,43761.200000000186
2021-04-18,18.38,5745220.399999999,96899.79999999981,7.56,2363104.8,28132.19999999972
2021-04-19,18.75,5860875.0,115654.60000000056,7.7,2406866.0,43761.200000000186
2021-04-20,19.15,5985906.999999999,125031.99999999907,7.87,2460004.6,53138.60000000009
2021-04-21,19.57,6117190.600000001,131283.6000000015,8.06,2519394.8000000003,59390.200000000186
2021-04-22,20.01,6254725.800000001,137535.2000000002,8.29,2591288.1999999997,71893.39999999944
2021-04-23,20.47,6398512.6,143786.79999999888,8.51,2660055.8,68767.6000000001
2021-04-24,20.92,6539173.600000001,140661.00000000093,8.7,2719446.0,59390.200000000186
2021-04-25,21.29,6654828.199999999,115654.5999999987,8.8,2750704.0000000005,31258.000000000466
2021-04-26,21.73,6792363.399999999,137535.2000000002,8.95,2797591.0,46886.999999999534
2021-04-27,22.16,6926772.8,134409.40000000037,9.15,2860107.0,62516.0
2021-04-28,22.61,7067433.8,140661.0,9.4,2938252.0,78145.0
2021-04-29,23.21,7254981.8,187548.0,9.7,3032025.9999999995,93773.99999999953
2021-04-30,23.77,7430026.6,175044.7999999998,10.04,3138303.1999999997,106277.20000000019
2021-05-01,24.24,7576939.199999999,146912.59999999963,10.32,3225825.6,87522.40000000037
2021-05-02,24.67,7711348.600000001,134409.4000000013,10.54,3294593.1999999997,68767.59999999963
2021-05-03,25.15,7861387.0,150038.39999999944,10.76,3363360.8,68767.6000000001
2021-05-04,25.68,8027054.399999999,165667.39999999944,11.01,3441505.8000000003,78145.00000000047
2021-05-05,26.24,8202099.199999999,175044.7999999998,11.28,3525902.4,84396.59999999963
2021-05-06,26.82,8383395.6,181296.40000000037,11.59,3622802.2,96899.80000000028
2021-05-07,27.42,8570943.6,187548.0,11.92,3725953.6,103151.3999999999
2021-05-08,27.96,8739736.8,168793.20000000112,12.26,3832230.8,106277.19999999972
2021-05-09,28.39,8874146.2,134409.3999999985,12.49,3904124.1999999997,71893.3999999999
2021-05-10,28.88,9027310.4,153164.20000000112,12.75,3985395.0,81270.80000000028
2021-05-11,29.38,9183600.4,156290.0,13.03,4072917.4,87522.3999999999
2021-05-12,29.93,9355519.4,171919.0,13.31,4160439.8,87522.3999999999
2021-05-13,30.5,9533690.0,178170.59999999963,13.63,4260465.4,100025.60000000056
2021-05-14,31.09,9718112.200000001,184422.20000000112,13.98,4369868.4,109403.0
2021-05-15,31.7,9908786.0,190673.79999999888,14.31,4473019.8,103151.39999999944
2021-05-16,32.16,10052572.799999999,143786.79999999888,14.57,4554290.6,81270.79999999981
2021-05-17,32.61,10193233.8,140661.00000000186,14.92,4663693.6,109403.0
2021-05-18,33.08,10340146.4,146912.59999999963,15.27,4773096.6,109403.0
2021-05-19,33.6,10502688.0,162541.59999999963,15.6,4876248.0,103151.40000000037
2021-05-20,34.12,10665229.599999998,162541.59999999776,16.03,5010657.4,134409.40000000037
2021-05-21,34.67,10837148.6,171919.00000000186,16.47,5148192.6,137535.19999999925
2021-05-22,35.2,11002816.000000002,165667.40000000224,16.87,5273224.600000001,125032.00000000093
2021-05-23,35.62,11134099.6,131283.59999999776,17.19,5373250.200000001,100025.60000000056
2021-05-24,36.08,11277886.4,143786.80000000075,17.56,5488904.799999999,115654.59999999776
2021-05-25,36.54,11421673.2,143786.79999999888,17.96,5613936.800000001,125032.00000000186
2021-05-26,37.02,11571711.600000001,150038.40000000224,18.41,5754597.800000001,140661.0
2021-05-27,37.54,11734253.200000001,162541.59999999963,18.91,5910887.8,156289.99999999907
2021-05-28,38.08,11903046.399999999,168793.1999999974,19.4,6064051.999999999,153164.19999999925
2021-05-29,38.61,12068713.8,165667.40000000224,19.77,6179706.6,115654.60000000056
2021-05-30,39.04,12203123.2,134409.3999999985,20.05,6267229.0,87522.40000000037
2021-05-31,39.59,12375042.200000001,171919.00000000186,20.4,6376632.0,109403.0
2021-06-01,40.15,12550086.999999998,175044.79999999702,20.73,6479783.4,103151.40000000037
2021-06-02,40.72,12728257.6,178170.6000000015,20.91,6536047.8,56264.39999999944
2021-06-03,41.5,12972070.0,243812.40000000037,21.2,6626696.0,90648.20000000019
2021-06-04,42.34,13234637.200000001,262567.2000000011,21.49,6717344.199999999,90648.19999999925
2021-06-05,43.18,13497204.4,262567.19999999925,21.78,6807992.4,90648.20000000112
2021-06-06,43.89,13719136.200000001,221931.80000000075,22.0,6876760.0,68767.59999999963
2021-06-07,44.66,13959822.799999999,240686.59999999776,22.25,6954905.0,78145.0
2021-06-08,45.43,14200509.399999999,240686.59999999963,22.51,7036175.800000001,81270.80000000075
2021-06-09,46.22,14447447.6,246938.20000000112,22.78,7120572.4,84396.59999999963
2021-06-10,47.06,14710014.8,262567.2000000011,23.05,7204969.0,84396.59999999963
2021-06-11,47.88,14966330.4,256315.59999999963,23.31,7286239.799999999,81270.79999999888
2021-06-12,48.65,15207017.0,240686.59999999963,23.51,7348755.8,62516.00000000093
2021-06-13,49.25,15394565.0,187548.0,23.64,7389391.2,40635.40000000037
2021-06-14,49.81,15569609.8,175044.80000000075,23.99,7498794.199999999,109402.99999999907
2021-06-15,50.34,15735277.200000003,165667.40000000224,24.35,7611323.000000001,112528.80000000168
2021-06-16,50.88,15904070.4,168793.1999999974,24.76,7739480.800000001,128157.79999999981
2021-06-17,51.41,16069737.8,165667.40000000037,25.25,7892645.0,153164.19999999925
2021-06-18,51.94,16235405.2,165667.3999999985,25.74,8045809.199999999,153164.19999999925
2021-06-19,52.44,16391695.2,156290.0,26.19,8186470.200000001,140661.00000000186
2021-06-20,52.81,16507349.8,115654.60000000149,26.54,8295873.199999999,109402.99999999814
2021-06-21,53.28,16654262.400000002,146912.6000000015,27.01,8442785.8,146912.6000000015
2021-06-22,53.77,16807426.6,153164.19999999925,27.49,8592824.2,150038.3999999985
2021-06-23,54.23,16951213.4,143786.79999999702,27.98,8745988.4,153164.20000000112
2021-06-24,54.72,17104377.6,153164.20000000298,28.51,8911655.8,165667.40000000037
2021-06-25,55.19,17251290.2,146912.59999999776,29.08,9089826.4,178170.59999999963
2021-06-26,55.64,17391951.2,140661.0,29.56,9239864.799999999,150038.3999999985
2021-06-27,56.0,17504480.0,112528.80000000075,29.93,9355519.4,115654.60000000149
2021-06-28,56.44,17642015.2,137535.19999999925,30.43,9511809.4,156290.0
2021-06-29,56.85,17770173.0,128157.80000000075,30.96,9677476.799999999,165667.3999999985
2021-06-30,57.26,17898330.8,128157.80000000075,31.51,9849395.799999999,171919.0
2021-07-01,57.63,18013985.400000002,115654.60000000149,32.1,10033818.0,184422.20000000112
2021-07-02,57.96,18117136.8,103151.39999999851,32.7,10221366.0,187548.0
2021-07-03,58.24,18204659.2,87522.39999999851,33.31,10412039.8,190673.80000000075
2021-07-04,58.47,18276552.6,71893.40000000224,33.77,10555826.600000001,143786.80000000075
2021-07-05,58.76,18367200.8,90648.19999999925,34.39,10749626.2,193799.59999999776
2021-07-06,59.03,18451597.400000002,84396.60000000149,35.02,10946551.6,196925.40000000037
2021-07-07,59.28,18529742.4,78144.99999999627,35.7,11159106.000000002,212554.40000000224
2021-07-08,59.47,18589132.6,59390.20000000298,36.48,11402918.399999999,243812.39999999665
2021-07-09,59.65,18645397.0,56264.39999999851,37.3,11659234.0,256315.6000000015
2021-07-10,59.82,18698535.599999998,53138.599999997765,38.09,11906172.200000001,246938.20000000112
2021-07-11,59.92,18729793.6,31258.000000003725,38.67,12087468.600000001,181296.40000000037
2021-07-12,60.07,18776680.6,46887.0,39.47,12337532.6,250063.99999999814
2021-07-13,60.22,18823567.599999998,46886.999999996275,40.28,12590722.4,253189.80000000075
2021-07-14,60.38,18873580.4,50012.800000000745,41.07,12837660.6,246938.19999999925
2021-07-15,60.55,18926718.999999996,53138.599999997765,41.93,13106479.4,268818.80000000075
2021-07-16,60.72,18979857.599999998,53138.60000000149,42.77,13369046.600000001,262567.2000000011
2021-07-17,60.85,19020493.0,40635.400000002235,43.53,13606607.4,237560.79999999888
2021-07-18,61.0,19067380.0,46887.0,44.13,13794155.4,187548.0
2021-07-19,61.2,19129896.0,62516.0,44.89,14031716.200000001,237560.80000000075
2021-07-20,61.4,19192412.0,62516.0,45.64,14266151.200000001,234435.0
2021-07-21,61.63,19264305.400000002,71893.40000000224,46.39,14500586.2,234434.99999999814
2021-07-22,61.87,19339324.6,75019.19999999925,47.17,14744398.6,243812.40000000037
2021-07-23,62.14,19423721.2,84396.59999999776,47.88,14966330.4,221931.80000000075
2021-07-24,62.34,19486237.200000003,62516.000000003725,48.51,15163255.799999999,196925.3999999985
2021-07-25,62.48,19529998.400000002,43761.199999999255,48.98,15310168.399999999,146912.59999999963
